datetime,open,high,low,close,volume,stock
2021-03-30 13:30:00,232.41,232.45,232.03,232.03999,380753,MSFT
2021-03-30 13:45:00,232.03,232.25,231.95,231.95,336830,MSFT
2021-03-30 14:00:00,231.94859,232.05611,231.73,231.92999,365467,MSFT
2021-03-30 14:00:00,119.735,119.75,119.61,119.7341,1417109,AAPL
2021-03-30 14:15:00,119.7399,119.82,119.465,119.535,1972479,AAPL
2021-03-30 14:15:00,231.91,232.13,231.60001,231.77,440398,MSFT
2021-03-30 14:30:00,231.7556,232.145,231.7,231.80499,439958,MSFT
2021-03-30 14:30:00,119.5311,119.81,119.5,119.635,1977698,AAPL
2021-03-30 14:45:00,119.64,119.74,119.48,119.7018,1981848,AAPL
2021-03-30 14:45:00,231.83,232.31,231.74001,232.25,485315,MSFT
2021-03-30 15:00:00,232.2506,232.44,232.09,232.14999,470381,MSFT
2021-03-30 15:00:00,119.708,119.985,119.64,119.9701,2275698,AAPL
2021-03-30 15:15:00,232.16,232.24001,231.87,232.02,573906,MSFT
2021-03-30 15:15:00,119.98,120.18,119.88,120.03,2372427,AAPL
2021-03-30 15:30:00,120.03,120.2364,119.92,119.97,2496092,AAPL
2021-03-30 15:30:00,232.03,232.37,231.85001,231.92999,666969,MSFT
2021-03-30 15:45:00,119.965,120.08,119.4,119.98,8073145,AAPL
2021-03-30 15:45:00,231.96001,232.47,231.32001,232.25999,3055370,MSFT
2021-03-31 09:30:00,121.66,122.41,121.15,122.1,12407592,AAPL
2021-03-31 09:30:00,232.91,233.32001,232.39,233.06,2018425,MSFT
2021-03-31 09:45:00,233.08,233.83,232.75,233.81,1343605,MSFT
2021-03-31 09:45:00,122.11,123.05,122.11,122.969,8218948,AAPL
2021-03-31 10:00:00,233.8,234.78999,233.78999,234.64,1194488,MSFT
2021-03-31 10:00:00,123.11,123.25,122.5584,122.73,5985476,AAPL
2021-03-31 10:15:00,234.64999,235.19501,234.371,234.82001,948791,MSFT
2021-03-31 10:15:00,122.74,123.04,122.6601,122.755,4017101,AAPL
2021-03-31 10:30:00,234.86,235.60001,234.8,235.52,860381,MSFT
2021-03-31 10:30:00,122.76,123.2,122.72,123.12,3984931,AAPL
2021-03-31 10:45:00,123.12,123.235,122.8091,122.8155,3397646,AAPL
2021-03-31 10:45:00,235.50999,236.07001,235.4332,235.56,893701,MSFT
2021-03-31 11:00:00,122.81,122.94,122.647,122.77,2559526,AAPL
2021-03-31 11:00:00,235.5594,235.87,235.17999,235.28999,602337,MSFT
2021-03-31 11:15:00,122.77,123.06,122.76,122.8686,2723900,AAPL
2021-03-31 11:15:00,235.33,235.64,235.061,235.58,662894,MSFT
2021-03-31 11:30:00,235.56,236.0,235.53169,235.7305,539150,MSFT
2021-03-31 11:30:00,122.865,123.19,122.85,122.95,3013740,AAPL
2021-03-31 11:45:00,235.75,236.25999,235.66,236.25,594436,MSFT
2021-03-31 11:45:00,122.95,123.3099,122.92,123.28,2968065,AAPL
2021-03-31 12:00:00,123.28,123.46,123.2,123.33,3021169,AAPL
2021-03-31 12:00:00,236.235,236.53,236.22501,236.30499,764387,MSFT
2021-03-31 12:15:00,236.31,236.756,236.31,236.64999,563177,MSFT
2021-03-31 12:15:00,123.3388,123.45,123.21,123.275,2297134,AAPL
2021-03-31 12:30:00,236.64,236.85001,236.58,236.73,424898,MSFT
2021-03-31 12:30:00,123.28,123.52,123.2796,123.325,2831600,AAPL
2021-03-31 12:45:00,236.72501,236.77,236.22,236.22791,354650,MSFT
2021-03-31 12:45:00,123.32,123.3501,123.07,123.0799,2023509,AAPL
2021-03-31 13:00:00,236.24001,236.52789,236.175,236.42999,370607,MSFT
2021-03-31 13:00:00,123.075,123.375,123.04,123.2761,2891140,AAPL
2021-03-31 13:15:00,236.41,236.55,236.19,236.52,330486,MSFT
2021-03-31 13:15:00,123.27,123.36,123.09,123.1601,1870383,AAPL
2021-03-31 13:30:00,236.51401,236.55,235.85001,236.02,505200,MSFT
2021-03-31 13:30:00,123.165,123.185,122.78,122.835,1927353,AAPL
2021-03-31 13:45:00,235.9975,236.0799,235.63,235.64,443638,MSFT
2021-03-31 13:45:00,122.8391,123.01,122.82,122.84,1553824,AAPL
2021-03-31 14:00:00,122.84,122.88,122.62,122.7504,1862626,AAPL
2021-03-31 14:00:00,235.64999,235.675,234.9001,234.91,624942,MSFT
2021-03-31 14:15:00,234.89999,235.06,234.6283,234.84,587330,MSFT
2021-03-31 14:15:00,122.755,122.77,122.58,122.735,1981924,AAPL
2021-03-31 14:30:00,122.74,122.8,122.43,122.5193,2637634,AAPL
2021-03-31 14:30:00,234.87,234.98,234.31,234.38,540068,MSFT
2021-03-31 14:45:00,122.51,122.9199,122.45,122.7713,2342896,AAPL
2021-03-31 14:45:00,234.38,234.67999,234.11729,234.5,642114,MSFT
2021-03-31 15:00:00,122.78,122.85,122.62,122.7799,2582213,AAPL
2021-03-31 15:00:00,234.58,239.09,234.53,238.155,5967283,MSFT
2021-03-31 15:15:00,238.17,238.6199,237.23,237.63499,2289670,MSFT
2021-03-31 15:15:00,122.77,122.88,122.63,122.68,2464942,AAPL
2021-03-31 15:30:00,237.64999,237.77,236.85001,236.87,1885907,MSFT
2021-03-31 15:30:00,122.67,122.75,122.51,122.51,2604024,AAPL
2021-03-31 15:45:00,122.5,122.72,122.0,122.16,12677917,AAPL
2021-03-31 15:45:00,236.89999,237.67999,235.77,235.77,5321551,MSFT
2021-04-01 09:30:00,238.42999,240.11,238.05009,239.75101,3687874,MSFT
2021-04-01 09:30:00,123.7842,124.18,123.2669,123.6943,9481980,AAPL
2021-04-01 09:45:00,123.6987,123.78,123.315,123.59,4679686,AAPL
2021-04-01 09:45:00,239.75999,241.425,239.57291,241.4238,2075565,MSFT
2021-04-01 10:00:00,241.425,241.64,240.56,241.25999,2111390,MSFT
